Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF 10V","C_1210_3225Metric",15.000000,-56.000000,0.000000,top
"C2","10uF 10V","C_1210_3225Metric",33.000000,-56.000000,0.000000,top
"C3","100nF MCU VCC","C_0805_2012Metric",76.000000,-50.000000,0.000000,top
"C4","100nF MCU AVCC","C_0805_2012Metric",71.000000,-24.000000,0.000000,top
"C5","100nF MAX AVDD","C_0805_2012Metric",17.500000,-33.000000,0.000000,top
"C6","100nF MAX DVDD","C_0805_2012Metric",26.500000,-33.000000,0.000000,top
"C7","100nF TC DIFF","C_0805_2012Metric",15.500000,-31.000000,0.000000,top
"C8","10nF TC+","C_0805_2012Metric",11.000000,-35.000000,0.000000,top
"C9","10nF TC-","C_0805_2012Metric",20.000000,-36.000000,0.000000,top
"C10","100nF AREF","C_0805_2012Metric",65.000000,-24.000000,0.000000,top
"D1","1N4007 FLYBACK","D_DO-41_SOD81_P7.62mm_Horizontal",109.000000,-49.000000,0.000000,top
"D2","ALARM LED","LED_D5.0mm_Clear",116.000000,-62.000000,0.000000,top
"FID1","FIDUCIAL","Fiducial_1mm_Mask2mm",10.000000,-8.000000,0.000000,top
"FID2","FIDUCIAL","Fiducial_1mm_Mask2mm",140.000000,-8.000000,0.000000,top
"FID3","FIDUCIAL","Fiducial_1mm_Mask2mm",140.000000,-62.000000,0.000000,top
"J1","5V_INPUT","TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",6.000000,-58.000000,90.000000,top
"J2","LCD_16x2","PinHeader_1x16_P2.54mm_Vertical",35.000000,-7.000000,90.000000,top
"J3","K-TYPE","TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",6.000000,-25.000000,90.000000,top
"J4","AVR_ISP","PinHeader_2x03_P2.54mm_Vertical",128.000000,-56.000000,0.000000,top
"J5","RELAY_COM_NO_NC","TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal",142.000000,-38.000000,90.000000,top
"K1","SRD-05VDC-SL-C","Relay_SPDT_SANYOU_SRD_Series_Form_C",112.000000,-38.000000,0.000000,top
"Q1","2N3904 E-B-C","TO-92_Inline",102.000000,-54.000000,0.000000,top
"R1","100R 0.1%","R_0805_2012Metric",13.500000,-23.500000,0.000000,top
"R2","100R 0.1%","R_0805_2012Metric",13.500000,-27.500000,0.000000,top
"R3","10k RESET","R_0805_2012Metric",65.000000,-50.000000,0.000000,top
"R4","1k RELAY BASE","R_0805_2012Metric",96.000000,-54.000000,0.000000,top
"R5","10k BASE PULLDOWN","R_0805_2012Metric",99.000000,-60.000000,0.000000,top
"R6","1k ALARM LED","R_0805_2012Metric",108.000000,-62.000000,0.000000,top
"R7","100R LCD LED","R_0805_2012Metric",80.000000,-9.000000,0.000000,top
"RV1","10k LCD CONTRAST","Potentiometer_Bourns_3296W_Vertical",98.000000,-16.000000,90.000000,top
"U1","ATmega32A-PU","DIP-40_W15.24mm",45.000000,-45.000000,90.000000,top
"U2","MAX31856MUD+","TSSOP-14_4.4x5mm_P0.65mm",22.000000,-26.000000,0.000000,top
"U3","AMS1117-3.3","SOT-223-3_TabPin2",24.000000,-57.000000,0.000000,top
